hour,t(sec),Tap(pu),Type,Name,Step_1
645,0.0,,Capacitor,moncapacitor-cap2,1.0
646,0.0,,Capacitor,moncapacitor-cap2,1.0
647,0.0,,Capacitor,moncapacitor-cap2,1.0
648,0.0,,Capacitor,moncapacitor-cap2,1.0
649,0.0,,Capacitor,moncapacitor-cap2,1.0
650,0.0,,Capacitor,moncapacitor-cap2,1.0
651,0.0,,Capacitor,moncapacitor-cap2,1.0
652,0.0,,Capacitor,moncapacitor-cap2,1.0
653,0.0,,Capacitor,moncapacitor-cap2,1.0
654,0.0,,Capacitor,moncapacitor-cap2,1.0
655,0.0,,Capacitor,moncapacitor-cap2,1.0
656,0.0,,Capacitor,moncapacitor-cap2,1.0
657,0.0,,Capacitor,moncapacitor-cap2,1.0
658,0.0,,Capacitor,moncapacitor-cap2,1.0
659,0.0,,Capacitor,moncapacitor-cap2,1.0
660,0.0,,Capacitor,moncapacitor-cap2,1.0
661,0.0,,Capacitor,moncapacitor-cap2,1.0
662,0.0,,Capacitor,moncapacitor-cap2,1.0
663,0.0,,Capacitor,moncapacitor-cap2,1.0
664,0.0,,Capacitor,moncapacitor-cap2,1.0
665,0.0,,Capacitor,moncapacitor-cap2,1.0
666,0.0,,Capacitor,moncapacitor-cap2,1.0
667,0.0,,Capacitor,moncapacitor-cap2,1.0
668,0.0,,Capacitor,moncapacitor-cap2,1.0
669,0.0,,Capacitor,moncapacitor-cap2,1.0
670,0.0,,Capacitor,moncapacitor-cap2,1.0
671,0.0,,Capacitor,moncapacitor-cap2,1.0
672,0.0,,Capacitor,moncapacitor-cap2,1.0
673,0.0,,Capacitor,moncapacitor-cap2,1.0
674,0.0,,Capacitor,moncapacitor-cap2,1.0
675,0.0,,Capacitor,moncapacitor-cap2,1.0
676,0.0,,Capacitor,moncapacitor-cap2,1.0
677,0.0,,Capacitor,moncapacitor-cap2,1.0
678,0.0,,Capacitor,moncapacitor-cap2,1.0
679,0.0,,Capacitor,moncapacitor-cap2,1.0
680,0.0,,Capacitor,moncapacitor-cap2,1.0
681,0.0,,Capacitor,moncapacitor-cap2,1.0
682,0.0,,Capacitor,moncapacitor-cap2,1.0
683,0.0,,Capacitor,moncapacitor-cap2,1.0
684,0.0,,Capacitor,moncapacitor-cap2,1.0
685,0.0,,Capacitor,moncapacitor-cap2,1.0
686,0.0,,Capacitor,moncapacitor-cap2,1.0
687,0.0,,Capacitor,moncapacitor-cap2,1.0
688,0.0,,Capacitor,moncapacitor-cap2,1.0
689,0.0,,Capacitor,moncapacitor-cap2,1.0
690,0.0,,Capacitor,moncapacitor-cap2,1.0
691,0.0,,Capacitor,moncapacitor-cap2,1.0
692,0.0,,Capacitor,moncapacitor-cap2,1.0
693,0.0,,Capacitor,moncapacitor-cap2,1.0
694,0.0,,Capacitor,moncapacitor-cap2,1.0
695,0.0,,Capacitor,moncapacitor-cap2,1.0
696,0.0,,Capacitor,moncapacitor-cap2,1.0
697,0.0,,Capacitor,moncapacitor-cap2,1.0
698,0.0,,Capacitor,moncapacitor-cap2,1.0
699,0.0,,Capacitor,moncapacitor-cap2,1.0
700,0.0,,Capacitor,moncapacitor-cap2,1.0
701,0.0,,Capacitor,moncapacitor-cap2,1.0
702,0.0,,Capacitor,moncapacitor-cap2,1.0
703,0.0,,Capacitor,moncapacitor-cap2,1.0
704,0.0,,Capacitor,moncapacitor-cap2,1.0
705,0.0,,Capacitor,moncapacitor-cap2,1.0
706,0.0,,Capacitor,moncapacitor-cap2,1.0
707,0.0,,Capacitor,moncapacitor-cap2,1.0
708,0.0,,Capacitor,moncapacitor-cap2,1.0
709,0.0,,Capacitor,moncapacitor-cap2,1.0
710,0.0,,Capacitor,moncapacitor-cap2,1.0
711,0.0,,Capacitor,moncapacitor-cap2,1.0
712,0.0,,Capacitor,moncapacitor-cap2,1.0
713,0.0,,Capacitor,moncapacitor-cap2,1.0
714,0.0,,Capacitor,moncapacitor-cap2,1.0
715,0.0,,Capacitor,moncapacitor-cap2,1.0
716,0.0,,Capacitor,moncapacitor-cap2,1.0
717,0.0,,Capacitor,moncapacitor-cap2,1.0
718,0.0,,Capacitor,moncapacitor-cap2,1.0
719,0.0,,Capacitor,moncapacitor-cap2,1.0
720,0.0,,Capacitor,moncapacitor-cap2,1.0
721,0.0,,Capacitor,moncapacitor-cap2,1.0
722,0.0,,Capacitor,moncapacitor-cap2,1.0
723,0.0,,Capacitor,moncapacitor-cap2,1.0
724,0.0,,Capacitor,moncapacitor-cap2,1.0
725,0.0,,Capacitor,moncapacitor-cap2,1.0
726,0.0,,Capacitor,moncapacitor-cap2,1.0
727,0.0,,Capacitor,moncapacitor-cap2,1.0
728,0.0,,Capacitor,moncapacitor-cap2,1.0
729,0.0,,Capacitor,moncapacitor-cap2,1.0
730,0.0,,Capacitor,moncapacitor-cap2,1.0
731,0.0,,Capacitor,moncapacitor-cap2,1.0
732,0.0,,Capacitor,moncapacitor-cap2,1.0
733,0.0,,Capacitor,moncapacitor-cap2,1.0
734,0.0,,Capacitor,moncapacitor-cap2,1.0
735,0.0,,Capacitor,moncapacitor-cap2,1.0
736,0.0,,Capacitor,moncapacitor-cap2,1.0
737,0.0,,Capacitor,moncapacitor-cap2,1.0
738,0.0,,Capacitor,moncapacitor-cap2,1.0
739,0.0,,Capacitor,moncapacitor-cap2,1.0
740,0.0,,Capacitor,moncapacitor-cap2,1.0
741,0.0,,Capacitor,moncapacitor-cap2,1.0
742,0.0,,Capacitor,moncapacitor-cap2,1.0
743,0.0,,Capacitor,moncapacitor-cap2,1.0
744,0.0,,Capacitor,moncapacitor-cap2,1.0
745,0.0,,Capacitor,moncapacitor-cap2,1.0
746,0.0,,Capacitor,moncapacitor-cap2,1.0
747,0.0,,Capacitor,moncapacitor-cap2,1.0
748,0.0,,Capacitor,moncapacitor-cap2,1.0
749,0.0,,Capacitor,moncapacitor-cap2,1.0
750,0.0,,Capacitor,moncapacitor-cap2,1.0
751,0.0,,Capacitor,moncapacitor-cap2,1.0
752,0.0,,Capacitor,moncapacitor-cap2,1.0
753,0.0,,Capacitor,moncapacitor-cap2,1.0
754,0.0,,Capacitor,moncapacitor-cap2,1.0
755,0.0,,Capacitor,moncapacitor-cap2,1.0
756,0.0,,Capacitor,moncapacitor-cap2,1.0
757,0.0,,Capacitor,moncapacitor-cap2,1.0
758,0.0,,Capacitor,moncapacitor-cap2,1.0
759,0.0,,Capacitor,moncapacitor-cap2,1.0
760,0.0,,Capacitor,moncapacitor-cap2,1.0
761,0.0,,Capacitor,moncapacitor-cap2,1.0
762,0.0,,Capacitor,moncapacitor-cap2,1.0
763,0.0,,Capacitor,moncapacitor-cap2,1.0
764,0.0,,Capacitor,moncapacitor-cap2,1.0
765,0.0,,Capacitor,moncapacitor-cap2,1.0
766,0.0,,Capacitor,moncapacitor-cap2,1.0
767,0.0,,Capacitor,moncapacitor-cap2,1.0
768,0.0,,Capacitor,moncapacitor-cap2,1.0
769,0.0,,Capacitor,moncapacitor-cap2,1.0
770,0.0,,Capacitor,moncapacitor-cap2,1.0
771,0.0,,Capacitor,moncapacitor-cap2,1.0
772,0.0,,Capacitor,moncapacitor-cap2,1.0
773,0.0,,Capacitor,moncapacitor-cap2,1.0
774,0.0,,Capacitor,moncapacitor-cap2,1.0
775,0.0,,Capacitor,moncapacitor-cap2,1.0
776,0.0,,Capacitor,moncapacitor-cap2,1.0
777,0.0,,Capacitor,moncapacitor-cap2,1.0
778,0.0,,Capacitor,moncapacitor-cap2,1.0
779,0.0,,Capacitor,moncapacitor-cap2,1.0
780,0.0,,Capacitor,moncapacitor-cap2,1.0
781,0.0,,Capacitor,moncapacitor-cap2,1.0
782,0.0,,Capacitor,moncapacitor-cap2,1.0
783,0.0,,Capacitor,moncapacitor-cap2,1.0
784,0.0,,Capacitor,moncapacitor-cap2,1.0
785,0.0,,Capacitor,moncapacitor-cap2,1.0
786,0.0,,Capacitor,moncapacitor-cap2,1.0
787,0.0,,Capacitor,moncapacitor-cap2,1.0
788,0.0,,Capacitor,moncapacitor-cap2,1.0
789,0.0,,Capacitor,moncapacitor-cap2,1.0
790,0.0,,Capacitor,moncapacitor-cap2,1.0
791,0.0,,Capacitor,moncapacitor-cap2,1.0
792,0.0,,Capacitor,moncapacitor-cap2,1.0
793,0.0,,Capacitor,moncapacitor-cap2,1.0
794,0.0,,Capacitor,moncapacitor-cap2,1.0
795,0.0,,Capacitor,moncapacitor-cap2,1.0
796,0.0,,Capacitor,moncapacitor-cap2,1.0
797,0.0,,Capacitor,moncapacitor-cap2,1.0
798,0.0,,Capacitor,moncapacitor-cap2,1.0
799,0.0,,Capacitor,moncapacitor-cap2,1.0
800,0.0,,Capacitor,moncapacitor-cap2,1.0
801,0.0,,Capacitor,moncapacitor-cap2,1.0
802,0.0,,Capacitor,moncapacitor-cap2,1.0
803,0.0,,Capacitor,moncapacitor-cap2,1.0
804,0.0,,Capacitor,moncapacitor-cap2,1.0
805,0.0,,Capacitor,moncapacitor-cap2,1.0
806,0.0,,Capacitor,moncapacitor-cap2,1.0
807,0.0,,Capacitor,moncapacitor-cap2,1.0
808,0.0,,Capacitor,moncapacitor-cap2,1.0
809,0.0,,Capacitor,moncapacitor-cap2,1.0
810,0.0,,Capacitor,moncapacitor-cap2,1.0
811,0.0,,Capacitor,moncapacitor-cap2,1.0
812,0.0,,Capacitor,moncapacitor-cap2,1.0
813,0.0,,Capacitor,moncapacitor-cap2,1.0
814,0.0,,Capacitor,moncapacitor-cap2,1.0
815,0.0,,Capacitor,moncapacitor-cap2,1.0
816,0.0,,Capacitor,moncapacitor-cap2,1.0
817,0.0,,Capacitor,moncapacitor-cap2,1.0
818,0.0,,Capacitor,moncapacitor-cap2,1.0
819,0.0,,Capacitor,moncapacitor-cap2,1.0
820,0.0,,Capacitor,moncapacitor-cap2,1.0
821,0.0,,Capacitor,moncapacitor-cap2,1.0
822,0.0,,Capacitor,moncapacitor-cap2,1.0
823,0.0,,Capacitor,moncapacitor-cap2,1.0
824,0.0,,Capacitor,moncapacitor-cap2,1.0
825,0.0,,Capacitor,moncapacitor-cap2,1.0
826,0.0,,Capacitor,moncapacitor-cap2,1.0
827,0.0,,Capacitor,moncapacitor-cap2,1.0
828,0.0,,Capacitor,moncapacitor-cap2,1.0
829,0.0,,Capacitor,moncapacitor-cap2,1.0
830,0.0,,Capacitor,moncapacitor-cap2,1.0
831,0.0,,Capacitor,moncapacitor-cap2,1.0
832,0.0,,Capacitor,moncapacitor-cap2,1.0
833,0.0,,Capacitor,moncapacitor-cap2,1.0
834,0.0,,Capacitor,moncapacitor-cap2,1.0
835,0.0,,Capacitor,moncapacitor-cap2,1.0
836,0.0,,Capacitor,moncapacitor-cap2,1.0
837,0.0,,Capacitor,moncapacitor-cap2,1.0
838,0.0,,Capacitor,moncapacitor-cap2,1.0
839,0.0,,Capacitor,moncapacitor-cap2,1.0
840,0.0,,Capacitor,moncapacitor-cap2,1.0
841,0.0,,Capacitor,moncapacitor-cap2,1.0
842,0.0,,Capacitor,moncapacitor-cap2,1.0
843,0.0,,Capacitor,moncapacitor-cap2,1.0
844,0.0,,Capacitor,moncapacitor-cap2,1.0
845,0.0,,Capacitor,moncapacitor-cap2,1.0
846,0.0,,Capacitor,moncapacitor-cap2,1.0
847,0.0,,Capacitor,moncapacitor-cap2,1.0
848,0.0,,Capacitor,moncapacitor-cap2,1.0
849,0.0,,Capacitor,moncapacitor-cap2,1.0
850,0.0,,Capacitor,moncapacitor-cap2,1.0
851,0.0,,Capacitor,moncapacitor-cap2,1.0
852,0.0,,Capacitor,moncapacitor-cap2,1.0
853,0.0,,Capacitor,moncapacitor-cap2,1.0
854,0.0,,Capacitor,moncapacitor-cap2,1.0
855,0.0,,Capacitor,moncapacitor-cap2,1.0
856,0.0,,Capacitor,moncapacitor-cap2,1.0
857,0.0,,Capacitor,moncapacitor-cap2,1.0
858,0.0,,Capacitor,moncapacitor-cap2,1.0
859,0.0,,Capacitor,moncapacitor-cap2,1.0
860,0.0,,Capacitor,moncapacitor-cap2,1.0
861,0.0,,Capacitor,moncapacitor-cap2,1.0
862,0.0,,Capacitor,moncapacitor-cap2,1.0
863,0.0,,Capacitor,moncapacitor-cap2,1.0
864,0.0,,Capacitor,moncapacitor-cap2,1.0
865,0.0,,Capacitor,moncapacitor-cap2,1.0
866,0.0,,Capacitor,moncapacitor-cap2,1.0
867,0.0,,Capacitor,moncapacitor-cap2,1.0
868,0.0,,Capacitor,moncapacitor-cap2,1.0
869,0.0,,Capacitor,moncapacitor-cap2,1.0
870,0.0,,Capacitor,moncapacitor-cap2,1.0
871,0.0,,Capacitor,moncapacitor-cap2,1.0
872,0.0,,Capacitor,moncapacitor-cap2,1.0
873,0.0,,Capacitor,moncapacitor-cap2,1.0
874,0.0,,Capacitor,moncapacitor-cap2,1.0
875,0.0,,Capacitor,moncapacitor-cap2,1.0
876,0.0,,Capacitor,moncapacitor-cap2,1.0
877,0.0,,Capacitor,moncapacitor-cap2,1.0
878,0.0,,Capacitor,moncapacitor-cap2,1.0
879,0.0,,Capacitor,moncapacitor-cap2,1.0
880,0.0,,Capacitor,moncapacitor-cap2,1.0
881,0.0,,Capacitor,moncapacitor-cap2,1.0
882,0.0,,Capacitor,moncapacitor-cap2,1.0
883,0.0,,Capacitor,moncapacitor-cap2,1.0
884,0.0,,Capacitor,moncapacitor-cap2,1.0
885,0.0,,Capacitor,moncapacitor-cap2,1.0
886,0.0,,Capacitor,moncapacitor-cap2,1.0
887,0.0,,Capacitor,moncapacitor-cap2,1.0
888,0.0,,Capacitor,moncapacitor-cap2,1.0
889,0.0,,Capacitor,moncapacitor-cap2,1.0
890,0.0,,Capacitor,moncapacitor-cap2,1.0
891,0.0,,Capacitor,moncapacitor-cap2,1.0
892,0.0,,Capacitor,moncapacitor-cap2,1.0
893,0.0,,Capacitor,moncapacitor-cap2,1.0
894,0.0,,Capacitor,moncapacitor-cap2,1.0
895,0.0,,Capacitor,moncapacitor-cap2,1.0
896,0.0,,Capacitor,moncapacitor-cap2,1.0
897,0.0,,Capacitor,moncapacitor-cap2,1.0
898,0.0,,Capacitor,moncapacitor-cap2,1.0
899,0.0,,Capacitor,moncapacitor-cap2,1.0
900,0.0,,Capacitor,moncapacitor-cap2,1.0
901,0.0,,Capacitor,moncapacitor-cap2,1.0
902,0.0,,Capacitor,moncapacitor-cap2,1.0
903,0.0,,Capacitor,moncapacitor-cap2,1.0
904,0.0,,Capacitor,moncapacitor-cap2,1.0
905,0.0,,Capacitor,moncapacitor-cap2,1.0
906,0.0,,Capacitor,moncapacitor-cap2,1.0
907,0.0,,Capacitor,moncapacitor-cap2,1.0
908,0.0,,Capacitor,moncapacitor-cap2,1.0
909,0.0,,Capacitor,moncapacitor-cap2,1.0
910,0.0,,Capacitor,moncapacitor-cap2,1.0
911,0.0,,Capacitor,moncapacitor-cap2,1.0
912,0.0,,Capacitor,moncapacitor-cap2,1.0
913,0.0,,Capacitor,moncapacitor-cap2,1.0
914,0.0,,Capacitor,moncapacitor-cap2,1.0
915,0.0,,Capacitor,moncapacitor-cap2,1.0
916,0.0,,Capacitor,moncapacitor-cap2,1.0
917,0.0,,Capacitor,moncapacitor-cap2,1.0
918,0.0,,Capacitor,moncapacitor-cap2,1.0
919,0.0,,Capacitor,moncapacitor-cap2,1.0
920,0.0,,Capacitor,moncapacitor-cap2,1.0
921,0.0,,Capacitor,moncapacitor-cap2,1.0
922,0.0,,Capacitor,moncapacitor-cap2,1.0
923,0.0,,Capacitor,moncapacitor-cap2,1.0
924,0.0,,Capacitor,moncapacitor-cap2,1.0
925,0.0,,Capacitor,moncapacitor-cap2,1.0
926,0.0,,Capacitor,moncapacitor-cap2,1.0
927,0.0,,Capacitor,moncapacitor-cap2,1.0
928,0.0,,Capacitor,moncapacitor-cap2,1.0
929,0.0,,Capacitor,moncapacitor-cap2,1.0
930,0.0,,Capacitor,moncapacitor-cap2,1.0
931,0.0,,Capacitor,moncapacitor-cap2,1.0
932,0.0,,Capacitor,moncapacitor-cap2,1.0
933,0.0,,Capacitor,moncapacitor-cap2,1.0
934,0.0,,Capacitor,moncapacitor-cap2,1.0
935,0.0,,Capacitor,moncapacitor-cap2,1.0
936,0.0,,Capacitor,moncapacitor-cap2,1.0
937,0.0,,Capacitor,moncapacitor-cap2,1.0
938,0.0,,Capacitor,moncapacitor-cap2,1.0
939,0.0,,Capacitor,moncapacitor-cap2,1.0
940,0.0,,Capacitor,moncapacitor-cap2,1.0
941,0.0,,Capacitor,moncapacitor-cap2,1.0
942,0.0,,Capacitor,moncapacitor-cap2,1.0
943,0.0,,Capacitor,moncapacitor-cap2,1.0
944,0.0,,Capacitor,moncapacitor-cap2,1.0
945,0.0,,Capacitor,moncapacitor-cap2,1.0
946,0.0,,Capacitor,moncapacitor-cap2,1.0
947,0.0,,Capacitor,moncapacitor-cap2,1.0
948,0.0,,Capacitor,moncapacitor-cap2,1.0
949,0.0,,Capacitor,moncapacitor-cap2,1.0
950,0.0,,Capacitor,moncapacitor-cap2,1.0
951,0.0,,Capacitor,moncapacitor-cap2,1.0
952,0.0,,Capacitor,moncapacitor-cap2,1.0
953,0.0,,Capacitor,moncapacitor-cap2,1.0
954,0.0,,Capacitor,moncapacitor-cap2,1.0
955,0.0,,Capacitor,moncapacitor-cap2,1.0
956,0.0,,Capacitor,moncapacitor-cap2,1.0
957,0.0,,Capacitor,moncapacitor-cap2,1.0
958,0.0,,Capacitor,moncapacitor-cap2,1.0
959,0.0,,Capacitor,moncapacitor-cap2,1.0
960,0.0,,Capacitor,moncapacitor-cap2,1.0
961,0.0,,Capacitor,moncapacitor-cap2,1.0
962,0.0,,Capacitor,moncapacitor-cap2,1.0
963,0.0,,Capacitor,moncapacitor-cap2,1.0
964,0.0,,Capacitor,moncapacitor-cap2,1.0
965,0.0,,Capacitor,moncapacitor-cap2,1.0
966,0.0,,Capacitor,moncapacitor-cap2,1.0
967,0.0,,Capacitor,moncapacitor-cap2,1.0
968,0.0,,Capacitor,moncapacitor-cap2,1.0
969,0.0,,Capacitor,moncapacitor-cap2,1.0
970,0.0,,Capacitor,moncapacitor-cap2,1.0
971,0.0,,Capacitor,moncapacitor-cap2,1.0
972,0.0,,Capacitor,moncapacitor-cap2,1.0
973,0.0,,Capacitor,moncapacitor-cap2,1.0
974,0.0,,Capacitor,moncapacitor-cap2,1.0
975,0.0,,Capacitor,moncapacitor-cap2,1.0
976,0.0,,Capacitor,moncapacitor-cap2,1.0
977,0.0,,Capacitor,moncapacitor-cap2,1.0
978,0.0,,Capacitor,moncapacitor-cap2,1.0
979,0.0,,Capacitor,moncapacitor-cap2,1.0
980,0.0,,Capacitor,moncapacitor-cap2,1.0
981,0.0,,Capacitor,moncapacitor-cap2,1.0
982,0.0,,Capacitor,moncapacitor-cap2,1.0
983,0.0,,Capacitor,moncapacitor-cap2,1.0
984,0.0,,Capacitor,moncapacitor-cap2,1.0
985,0.0,,Capacitor,moncapacitor-cap2,1.0
986,0.0,,Capacitor,moncapacitor-cap2,1.0
987,0.0,,Capacitor,moncapacitor-cap2,1.0
988,0.0,,Capacitor,moncapacitor-cap2,1.0
989,0.0,,Capacitor,moncapacitor-cap2,1.0
990,0.0,,Capacitor,moncapacitor-cap2,1.0
991,0.0,,Capacitor,moncapacitor-cap2,1.0
992,0.0,,Capacitor,moncapacitor-cap2,1.0
993,0.0,,Capacitor,moncapacitor-cap2,1.0
994,0.0,,Capacitor,moncapacitor-cap2,1.0
995,0.0,,Capacitor,moncapacitor-cap2,1.0
996,0.0,,Capacitor,moncapacitor-cap2,1.0
997,0.0,,Capacitor,moncapacitor-cap2,1.0
998,0.0,,Capacitor,moncapacitor-cap2,1.0
999,0.0,,Capacitor,moncapacitor-cap2,1.0
1000,0.0,,Capacitor,moncapacitor-cap2,1.0
1001,0.0,,Capacitor,moncapacitor-cap2,1.0
1002,0.0,,Capacitor,moncapacitor-cap2,1.0
1003,0.0,,Capacitor,moncapacitor-cap2,1.0
1004,0.0,,Capacitor,moncapacitor-cap2,1.0
1005,0.0,,Capacitor,moncapacitor-cap2,1.0
1006,0.0,,Capacitor,moncapacitor-cap2,1.0
1007,0.0,,Capacitor,moncapacitor-cap2,1.0
1008,0.0,,Capacitor,moncapacitor-cap2,1.0
1009,0.0,,Capacitor,moncapacitor-cap2,1.0
1010,0.0,,Capacitor,moncapacitor-cap2,1.0
1011,0.0,,Capacitor,moncapacitor-cap2,1.0
1012,0.0,,Capacitor,moncapacitor-cap2,1.0
1013,0.0,,Capacitor,moncapacitor-cap2,1.0
1014,0.0,,Capacitor,moncapacitor-cap2,1.0
1015,0.0,,Capacitor,moncapacitor-cap2,1.0
1016,0.0,,Capacitor,moncapacitor-cap2,1.0
1017,0.0,,Capacitor,moncapacitor-cap2,1.0
1018,0.0,,Capacitor,moncapacitor-cap2,1.0
1019,0.0,,Capacitor,moncapacitor-cap2,1.0
1020,0.0,,Capacitor,moncapacitor-cap2,1.0
1021,0.0,,Capacitor,moncapacitor-cap2,1.0
1022,0.0,,Capacitor,moncapacitor-cap2,1.0
1023,0.0,,Capacitor,moncapacitor-cap2,1.0
1024,0.0,,Capacitor,moncapacitor-cap2,1.0
1025,0.0,,Capacitor,moncapacitor-cap2,1.0
1026,0.0,,Capacitor,moncapacitor-cap2,1.0
1027,0.0,,Capacitor,moncapacitor-cap2,1.0
1028,0.0,,Capacitor,moncapacitor-cap2,1.0
1029,0.0,,Capacitor,moncapacitor-cap2,1.0
1030,0.0,,Capacitor,moncapacitor-cap2,1.0
1031,0.0,,Capacitor,moncapacitor-cap2,1.0
1032,0.0,,Capacitor,moncapacitor-cap2,1.0
1033,0.0,,Capacitor,moncapacitor-cap2,1.0
1034,0.0,,Capacitor,moncapacitor-cap2,1.0
1035,0.0,,Capacitor,moncapacitor-cap2,1.0
1036,0.0,,Capacitor,moncapacitor-cap2,1.0
1037,0.0,,Capacitor,moncapacitor-cap2,1.0
1038,0.0,,Capacitor,moncapacitor-cap2,1.0
1039,0.0,,Capacitor,moncapacitor-cap2,1.0
1040,0.0,,Capacitor,moncapacitor-cap2,1.0
1041,0.0,,Capacitor,moncapacitor-cap2,1.0
1042,0.0,,Capacitor,moncapacitor-cap2,1.0
1043,0.0,,Capacitor,moncapacitor-cap2,1.0
1044,0.0,,Capacitor,moncapacitor-cap2,1.0
1045,0.0,,Capacitor,moncapacitor-cap2,1.0
1046,0.0,,Capacitor,moncapacitor-cap2,1.0
1047,0.0,,Capacitor,moncapacitor-cap2,1.0
1048,0.0,,Capacitor,moncapacitor-cap2,1.0
1049,0.0,,Capacitor,moncapacitor-cap2,1.0
1050,0.0,,Capacitor,moncapacitor-cap2,1.0
1051,0.0,,Capacitor,moncapacitor-cap2,1.0
1052,0.0,,Capacitor,moncapacitor-cap2,1.0
1053,0.0,,Capacitor,moncapacitor-cap2,1.0
1054,0.0,,Capacitor,moncapacitor-cap2,1.0
1055,0.0,,Capacitor,moncapacitor-cap2,1.0
1056,0.0,,Capacitor,moncapacitor-cap2,1.0
1057,0.0,,Capacitor,moncapacitor-cap2,1.0
1058,0.0,,Capacitor,moncapacitor-cap2,1.0
1059,0.0,,Capacitor,moncapacitor-cap2,1.0
1060,0.0,,Capacitor,moncapacitor-cap2,1.0
1061,0.0,,Capacitor,moncapacitor-cap2,1.0
1062,0.0,,Capacitor,moncapacitor-cap2,1.0
1063,0.0,,Capacitor,moncapacitor-cap2,1.0
1064,0.0,,Capacitor,moncapacitor-cap2,1.0
1065,0.0,,Capacitor,moncapacitor-cap2,1.0
1066,0.0,,Capacitor,moncapacitor-cap2,1.0
1067,0.0,,Capacitor,moncapacitor-cap2,1.0
1068,0.0,,Capacitor,moncapacitor-cap2,1.0
1069,0.0,,Capacitor,moncapacitor-cap2,1.0
1070,0.0,,Capacitor,moncapacitor-cap2,1.0
1071,0.0,,Capacitor,moncapacitor-cap2,1.0
1072,0.0,,Capacitor,moncapacitor-cap2,1.0
1073,0.0,,Capacitor,moncapacitor-cap2,1.0
1074,0.0,,Capacitor,moncapacitor-cap2,1.0
1075,0.0,,Capacitor,moncapacitor-cap2,1.0
1076,0.0,,Capacitor,moncapacitor-cap2,1.0
1077,0.0,,Capacitor,moncapacitor-cap2,1.0
1078,0.0,,Capacitor,moncapacitor-cap2,1.0
1079,0.0,,Capacitor,moncapacitor-cap2,1.0
1080,0.0,,Capacitor,moncapacitor-cap2,1.0
1081,0.0,,Capacitor,moncapacitor-cap2,1.0
1082,0.0,,Capacitor,moncapacitor-cap2,1.0
1083,0.0,,Capacitor,moncapacitor-cap2,1.0
1084,0.0,,Capacitor,moncapacitor-cap2,1.0
1085,0.0,,Capacitor,moncapacitor-cap2,1.0
1086,0.0,,Capacitor,moncapacitor-cap2,1.0
1087,0.0,,Capacitor,moncapacitor-cap2,1.0
1088,0.0,,Capacitor,moncapacitor-cap2,1.0
1089,0.0,,Capacitor,moncapacitor-cap2,1.0
1090,0.0,,Capacitor,moncapacitor-cap2,1.0
1091,0.0,,Capacitor,moncapacitor-cap2,1.0
1092,0.0,,Capacitor,moncapacitor-cap2,1.0
1093,0.0,,Capacitor,moncapacitor-cap2,1.0
1094,0.0,,Capacitor,moncapacitor-cap2,1.0
1095,0.0,,Capacitor,moncapacitor-cap2,1.0
1096,0.0,,Capacitor,moncapacitor-cap2,1.0
1097,0.0,,Capacitor,moncapacitor-cap2,1.0
1098,0.0,,Capacitor,moncapacitor-cap2,1.0
1099,0.0,,Capacitor,moncapacitor-cap2,1.0
1100,0.0,,Capacitor,moncapacitor-cap2,1.0
1101,0.0,,Capacitor,moncapacitor-cap2,1.0
1102,0.0,,Capacitor,moncapacitor-cap2,1.0
1103,0.0,,Capacitor,moncapacitor-cap2,1.0
1104,0.0,,Capacitor,moncapacitor-cap2,1.0
1105,0.0,,Capacitor,moncapacitor-cap2,1.0
1106,0.0,,Capacitor,moncapacitor-cap2,1.0
1107,0.0,,Capacitor,moncapacitor-cap2,1.0
1108,0.0,,Capacitor,moncapacitor-cap2,1.0
1109,0.0,,Capacitor,moncapacitor-cap2,1.0
1110,0.0,,Capacitor,moncapacitor-cap2,1.0
1111,0.0,,Capacitor,moncapacitor-cap2,1.0
1112,0.0,,Capacitor,moncapacitor-cap2,1.0
1113,0.0,,Capacitor,moncapacitor-cap2,1.0
1114,0.0,,Capacitor,moncapacitor-cap2,1.0
1115,0.0,,Capacitor,moncapacitor-cap2,1.0
1116,0.0,,Capacitor,moncapacitor-cap2,1.0
1117,0.0,,Capacitor,moncapacitor-cap2,1.0
1118,0.0,,Capacitor,moncapacitor-cap2,1.0
1119,0.0,,Capacitor,moncapacitor-cap2,1.0
1120,0.0,,Capacitor,moncapacitor-cap2,1.0
1121,0.0,,Capacitor,moncapacitor-cap2,1.0
1122,0.0,,Capacitor,moncapacitor-cap2,1.0
1123,0.0,,Capacitor,moncapacitor-cap2,1.0
1124,0.0,,Capacitor,moncapacitor-cap2,1.0
1125,0.0,,Capacitor,moncapacitor-cap2,1.0
1126,0.0,,Capacitor,moncapacitor-cap2,1.0
1127,0.0,,Capacitor,moncapacitor-cap2,1.0
1128,0.0,,Capacitor,moncapacitor-cap2,1.0
1129,0.0,,Capacitor,moncapacitor-cap2,1.0
1130,0.0,,Capacitor,moncapacitor-cap2,1.0
1131,0.0,,Capacitor,moncapacitor-cap2,1.0
1132,0.0,,Capacitor,moncapacitor-cap2,1.0
1133,0.0,,Capacitor,moncapacitor-cap2,1.0
1134,0.0,,Capacitor,moncapacitor-cap2,1.0
1135,0.0,,Capacitor,moncapacitor-cap2,1.0
1136,0.0,,Capacitor,moncapacitor-cap2,1.0
1137,0.0,,Capacitor,moncapacitor-cap2,1.0
1138,0.0,,Capacitor,moncapacitor-cap2,1.0
